date,close,sma,sma_long,rsi,ema,ema_long,mom,roc,adx,composite_score,bull_components,total_components,signal,atr,peak_composite,confidence,peak_confidence,effective_risk_fraction,realized_vol
2023-01-03,123.33065032958984,,,,,,,,,0.0,0,5,-1,,0.0,0.0,0.0,,
2023-01-04,124.60270690917969,,,,,,,,,0.0,0,5,-1,,0.0,0.0,0.0,,
2023-01-05,123.28132629394531,,,,,,,,,0.0,0,5,-1,,0.0,0.0,0.0,,
2023-01-06,127.81736755371094,,,,,,,,,0.0,0,5,-1,,0.0,0.0,0.0,,
2023-01-09,128.33998107910156,,,,,,,,,0.0,0,5,-1,,0.0,0.0,0.0,,
2023-01-10,128.9119110107422,,,,,,,,,0.0,0,5,-1,,0.0,0.0,0.0,,
2023-01-11,131.633544921875,,,,,,,,,0.0,0,5,-1,,0.0,0.0,0.0,,
2023-01-12,131.55465698242188,,,,,,,,,0.0,0,5,-1,,0.0,0.0,0.0,,
2023-01-13,132.88589477539062,,,,,,,,,0.0,0,5,-1,,0.0,0.0,0.0,,
2023-01-17,134.04946899414062,,,,,,,,,0.0,0,5,-1,,0.0,0.0,0.0,,
2023-01-18,133.3296356201172,,,,,,,,,0.0,0,5,-1,,0.0,0.0,0.0,,
2023-01-19,133.3887939453125,,,,,,,,,0.0,0,5,-1,,0.0,0.0,0.0,,
2023-01-20,135.95263671875,,,,,,,,,0.0,0,5,-1,,0.0,0.0,0.0,,
2023-01-23,139.1475830078125,,,,,,,,,0.0,0,5,-1,,0.0,0.0,0.0,,
2023-01-24,140.54783630371094,,,90.11947890514472,,,,,,0.0,0,5,-1,3.478792006287694,0.0,0.0,0.0,,
2023-01-25,139.88714599609375,,,87.22708726131417,,,,,,0.0,0,5,-1,3.492326634684249,0.0,0.0,0.0,,
2023-01-26,141.9579620361328,,,88.47557935391805,,,,,,0.0,0,5,-1,3.411215903915064,0.0,0.0,0.0,,
2023-01-27,143.90052795410156,,,89.51128656259084,,,,,,0.0,0,5,-1,3.4598633013095212,0.0,0.0,0.0,,
2023-01-30,141.0113067626953,,,78.2476436123826,,,,,,0.0,0,5,-1,3.4296680034241676,0.0,0.0,0.0,,
2023-01-31,142.2833251953125,,,79.47236496561999,,,,,,0.0,0,5,-1,3.3297880592418534,0.0,0.0,0.0,,
2023-02-01,143.407470703125,,,80.51639753665364,,,20.076820373535156,16.278857137201253,,0.4,2,5,-1,3.464547795369942,0.4,0.4,0.4,,
