date,close,sma,sma_long,rsi,ema,ema_long,mom,roc,adx,composite_score,bull_components,total_components,signal,atr,peak_composite,confidence,peak_confidence,effective_risk_fraction,realized_vol
2024-09-03,221.738037109375,,,,,,,,,0.0,0,5,-1,,0.0,0.0,0.0,,
2024-09-04,219.82691955566406,,,,,,,,,0.0,0,5,-1,,0.0,0.0,0.0,,
2024-09-05,221.34983825683594,,,,,,,,,0.0,0,5,-1,,0.0,0.0,0.0,,
2024-09-06,219.79705810546875,,,,,,,,,0.0,0,5,-1,,0.0,0.0,0.0,,
2024-09-09,219.8866424560547,,,,,,,,,0.0,0,5,-1,,0.0,0.0,0.0,,
2024-09-10,219.09034729003906,,,,,,,,,0.0,0,5,-1,,0.0,0.0,0.0,,
2024-09-11,221.6285400390625,,,,,,,,,0.0,0,5,-1,,0.0,0.0,0.0,,
2024-09-12,221.738037109375,,,,,,,,,0.0,0,5,-1,,0.0,0.0,0.0,,
2024-09-13,221.46926879882812,,,,,,,,,0.0,0,5,-1,,0.0,0.0,0.0,,
2024-09-16,215.3179168701172,,,,,,,,,0.0,0,5,-1,,0.0,0.0,0.0,,
2024-09-17,215.78570556640625,,,,,,,,,0.0,0,5,-1,,0.0,0.0,0.0,,
2024-09-18,219.6676788330078,,,,,,,,,0.0,0,5,-1,,0.0,0.0,0.0,,
2024-09-19,227.8097686767578,,,,,,,,,0.0,0,5,-1,,0.0,0.0,0.0,,
2024-09-20,227.1428680419922,,,,,,,,,0.0,0,5,-1,,0.0,0.0,0.0,,
2024-09-23,225.4208984375,,,56.17489884177155,,,,,,0.0,0,5,-1,5.040827332942472,0.0,0.0,0.0,,
2024-09-24,226.31671142578125,,,57.54822094500959,,,,,,0.0,0,5,-1,4.9381425807515935,0.0,0.0,0.0,,
2024-09-25,225.3213348388672,,,55.46828956876853,,,,,,0.0,0,5,-1,4.82359533111267,0.0,0.0,0.0,,
2024-09-26,226.4660186767578,,,57.37617519187518,,,,,,0.0,0,5,-1,4.698744374679441,0.0,0.0,0.0,,
2024-09-27,226.73475646972656,,,57.83293118064354,,,,,,0.0,0,5,-1,4.520956709933758,0.0,0.0,0.0,,
